lichess_dataset_index,PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl
137,00Ea3,3r4/p5k1/1p1qprnp/1Q1pN1p1/3P1pP1/1PP5/P5PP/4RRK1 b - - 3 29,g6e5 d4e5 d6c5 b5c5 b6c5 e5f6,1336,165,100,25,crushing fork long middlegame,https://lichess.org/6TJRc5H1/black#58
140,00Erm,3r4/6k1/1p1pr1p1/p1p2p2/PnP1p1P1/1P6/3R1PBP/4R1K1 b - - 0 29,b4d3 d2d3 e4d3 e1e6 d3d2 g2f3,1578,178,100,13,crushing defensiveMove endgame long,https://lichess.org/kE9mu3xO/black#58
141,00Evs,5qk1/pQ3pp1/7p/b2N1b2/P3r3/5K2/7P/R4B2 b - - 1 24,g7g5 d5f6 g8h8 f6e4,877,76,100,575,advantage fork middlegame short,https://lichess.org/ZuufvD5S/black#48
142,00F2o,6k1/4qpp1/3p3p/8/2BP4/1Pn5/2Qn1PPP/6K1 w - - 0 29,c2c3 e7e1 c4f1 e1f1,994,75,100,90,endgame mate mateIn2 short,https://lichess.org/Xik1cEk4#57
143,00F3S,3r1rk1/5ppp/p5q1/1p1P4/2PpP3/P6Q/B4PPP/2R3K1 b - - 0 29,g6e4 a2b1 e4b1 c1b1,1500,500,100,0,crushing endgame short,https://lichess.org/kCnMPvjO/black#58
146,00FHX,2r3k1/5p1p/4pP2/3p3P/8/5P2/p1b3P1/2R3K1 b - - 0 30,c2b1 c1c8,691,85,100,200,endgame hangingPiece mate mateIn1 oneMove,https://lichess.org/rztVgThB/black#60
150,00G1l,5k2/1R6/3pp1P1/2p5/1pr1PK2/5P2/8/8 b - - 0 60,c4c1 f4g5 c1g1 g5f6,2082,119,100,20,crushing defensiveMove endgame rookEndgame short,https://lichess.org/IWYBiMcT/black#120
167,00HEh,3R1rk1/pp3ppp/2p3b1/2n3P1/2B2q1P/5N2/PPP1QP2/4R1K1 b - - 0 23,f8d8 e2e8 d8e8 e1e8,703,79,100,91,kingsideAttack mate mateIn2 middlegame sacrifice short,https://lichess.org/ekEf00kl/black#46
168,00HEx,b7/5pk1/R3pn1p/8/3NP3/5P2/6PP/2rB2K1 w - - 1 31,a6a8 c1d1 g1f2 d1d4,1042,213,100,21,crushing endgame fork hangingPiece short,https://lichess.org/Kl5pBLfs#61
170,00HHN,4r2k/p6p/1p3R2/2p5/2P5/1P4R1/r5PP/2K5 w - - 0 32,f6f7 e8e1,1212,157,100,27,endgame mate mateIn1 oneMove rookEndgame,https://lichess.org/tMmxk7ja#63
171,00HPz,6r1/7p/2pk1p2/P2p4/P2KbP2/4P3/4NR1P/8 w - - 1 35,e2c3 c6c5,920,139,100,40,endgame mate mateIn1 oneMove,https://lichess.org/ElfQqRYp#69
173,00HZa,6k1/6pp/1p6/p1n5/4qp2/1P2PN2/P4PPP/3Q2K1 b - - 0 28,f4e3 d1d8 g8f7 f3g5 f7g6 g5e4,1346,360,100,3,crushing endgame fork long,https://lichess.org/WRMbDs53/black#56
174,00HoG,5r1k/5r2/2b2RQp/1p1p2p1/1q4P1/8/8/1B3R1K b - - 0 36,f7f6 g6h7,1345,84,100,214,mate mateIn1 middlegame oneMove,https://lichess.org/zwJu9mKP/black#72
176,00HzH,2r2Qk1/p2q2p1/1p2p1Np/3p3P/3Pb1P1/2P5/PP3R2/6K1 b - - 4 33,c8f8 f2f8 g8h7 f8h8,947,94,100,76,endgame hookMate mate mateIn2 short,https://lichess.org/XB8lgZ9N/black#66
177,00HzX,4r1k1/5pp1/2R4p/1p6/8/1PP3QP/2q2PP1/6K1 w - - 0 29,c6h6 c2c1 g1h2 c1h6,1637,131,100,29,crushing endgame fork short,https://lichess.org/tKKATkce#57
188,00J5r,r4rk1/1p4p1/p1p1n1Pp/q3p3/4P3/2N1QP2/PPP5/2KR3R w - - 0 21,h1h6 g7h6 e3h6 a5c7,1831,273,100,3,crushing defensiveMove middlegame short,https://lichess.org/1DzEGAx8#41
190,00JFF,4r1k1/ppqb3p/6B1/3pb2Q/8/2P5/PP1B2PP/5RK1 b - - 0 20,h7g6 h5g6 e5g7 f1f7 c7c5 g1h1 c5f8 f7f8,1700,268,100,8,crushing middlegame pin veryLong,https://lichess.org/e986oDw6/black#40
195,00JtR,1rbk3r/3qp1b1/p3p1Bp/1N1P2p1/8/P5P1/1P2Q1P1/R3K2R w KQ - 2 23,d5e6 d7b5 e2d2 d8c7 a1c1 c7b7 g6e4 b7a7,1753,212,100,6,crushing defensiveMove middlegame veryLong,https://lichess.org/eQy3tkuB#45
201,00KOz,8/r4k2/7R/5PK1/1n6/8/8/8 b - - 3 56,b4d5 h6h7 f7f8 h7a7,1029,75,100,567,crushing endgame master short skewer,https://lichess.org/QVprMNzR/black#112
202,00KSB,r7/4kpRp/2p2p1P/p1P1n3/Pp6/1B6/5PP1/6K1 b - - 2 35,a8h8 f2f4 e5d7 g7f7,1500,500,100,0,crushing endgame short,https://lichess.org/GqvPZnmI/black#70
204,00KVb,2k2r2/pp5p/3p4/3Nb1p1/8/1P1P3P/P1Pn4/1K1R1R2 w - - 3 28,d1d2 f8f1 d2d1 f1d1,723,120,100,55,endgame hangingPiece mate mateIn2 short,https://lichess.org/tzIW1ZLM#55
208,00Keu,R7/1p3kp1/2pK3p/3p1PP1/1r1B2nP/8/1P6/8 b - - 2 39,b4d4 g5g6 f7f6 a8f8,953,75,100,484,endgame mate mateIn2 short,https://lichess.org/hCWa2OUn/black#78
215,00LNB,kr6/1pR4p/p4R2/n2r4/P3p3/4B3/6PP/6K1 b - - 0 38,d5d3 f6a6 b7a6 c7a7,1639,355,100,6,endgame mate mateIn2 sacrifice short,https://lichess.org/MQYDGoEM/black#76
220,00LdT,r5k1/pbp2ppp/6q1/2pp4/3B3r/2P1R1P1/PP2QP1P/R5K1 b - - 1 20,c5d4 e3e8 a8e8 e2e8,1028,149,100,22,kingsideAttack mate mateIn2 middlegame short,https://lichess.org/MH7zaBHa/black#40
221,00Lo9,5k2/8/4p3/3p2p1/p1pQ2P1/P1P2q2/1PB5/7K w - - 0 42,h1h2 f3e2 h2g3 e2c2,1384,256,100,7,endgame equality fork short,https://lichess.org/oAKhM88Y#83
232,00MWz,8/8/2B5/4pK2/3k1pPp/5n1P/8/8 b - - 3 57,f3g1 g4g5 g1e2 g5g6,742,81,100,1273,crushing endgame quietMove short,https://lichess.org/1sHbVvW6/black#114
237,00N3B,r2q1rk1/1bb2ppp/p1n1p3/4P3/Np1P4/1B2NP2/1P4PP/2RQ1RK1 b - - 0 20,d8d4 d1d4 c6d4 c1c7 d4b3 c7b7,1652,299,100,4,crushing long middlegame,https://lichess.org/knYvxXRq/black#40
249,00OXc,8/5K1p/1p4pk/8/3brp2/5R2/8/8 b - - 5 50,g6g5 f3h3,977,110,100,65,endgame mate mateIn1 oneMove,https://lichess.org/Dp1LJyaZ/black#100
250,00Ocp,r3k3/p1pbq3/2p2p2/4p1p1/2B3p1/2P4r/P1P2PQP/3RR1K1 b q - 3 20,e7c5 g2e4 f6f5 e4e5 c5e5 e1e5,1957,180,100,10,crushing exposedKing long middlegame,https://lichess.org/fCyysDNm/black#40
251,00Oft,3r4/p1pk1p1p/2pp1qr1/2b5/Q3P1b1/5NB1/P2N1PPP/R4RK1 w - - 2 16,g3h4 g4f3 d2f3 f6f3,1408,247,100,6,equality middlegame pin short,https://lichess.org/SpSdvvVa#31
265,00QCe,1k5r/n2r2pp/5p2/ppN5/5P2/8/2R3PP/1R4K1 b - - 3 28,d7c7 c5a6 b8b7 a6c7,1317,74,100,529,crushing endgame fork short,https://lichess.org/fovXj5D1/black#56
271,00QnO,1k1r1r2/pp4p1/6q1/2Qp4/5bP1/2P4p/PPN3NP/R4R1K w - - 0 30,g2f4 g6e4 h1g1 f8f4,1799,102,100,43,crushing fork intermezzo middlegame short,https://lichess.org/9GENZopF#59
272,00Qnn,r1bqkb1r/ppp1n1p1/7p/3Pp1N1/2P5/8/PP3PPP/RNBQK2R w KQkq - 0 11,d1h5 g7g6 h5e2 h6g5,1531,241,100,7,defensiveMove equality opening short,https://lichess.org/bvZx0hh4#21
273,00R2A,2kr1b1R/p5p1/8/3P1p2/8/4B3/PPPK1P2/8 w - - 1 25,c2c4 f8b4 d2d3 d8h8,925,166,100,21,crushing discoveredAttack endgame short,https://lichess.org/ZjzT3REI#49
288,00SUF,1n6/1P6/5pp1/8/2k3PP/4P3/3K4/8 b - - 0 51,c4c5 h4h5 g6h5 g4h5 c5d6 h5h6,1315,119,100,24,crushing endgame knightEndgame long,https://lichess.org/zGMp3vwR/black#102
295,00TRo,5q1k/2r3p1/1p2p2b/3p2NQ/3P4/1p6/5R2/6K1 b - - 1 38,f8b4 h5e8 b4f8 f2f8,1649,138,100,24,endgame mate mateIn2 short,https://lichess.org/h4dPcMj5/black#76
297,00Ta0,4k3/1R6/6p1/4Np1p/7P/2r3PK/5b2/8 w - - 11 47,e5g6 c3g3 h3h2 g3g6,1063,76,100,198,crushing endgame fork short,https://lichess.org/kDwb7v3y#93
305,00UHs,r4rk1/ppp3pp/4p3/2P4P/1nNP2q1/P3QP2/1Pb2K2/R4B1R b - - 0 22,c2e4 c4e5 b4d5 e5g4 d5e3 f2e3,1500,500,100,0,crushing long middlegame,https://lichess.org/wLdDSwHk/black#44
309,00UV8,3r4/7p/p3nkp1/1b6/4P2P/1B2B3/P4KP1/8 b - - 1 38,e6d4 e3g5 f6e5 g5d8,1558,300,100,5,endgame equality short skewer,https://lichess.org/xzJR462D/black#76
310,00UZP,5r1k/ppQ3p1/6qp/5r2/3Pp1b1/2P5/P2B1PPP/R4R1K w - - 5 22,c7b7 f5f2 f1f2 f8f2,1501,281,100,7,crushing middlegame short,https://lichess.org/4HQMl1VG#43
337,00XCT,6Q1/7K/2k5/3r4/8/8/8/8 w - - 5 82,h7h8 d5h5 g8h7 h5h7,1111,142,100,39,endgame equality queenRookEndgame short,https://lichess.org/I94rnuWS#163
338,00XPO,r2q1r1k/1pp3p1/1b2b2p/3n4/pP6/P1P2N1P/1BB2PP1/R2QK2R w KQ - 0 20,d1d3 e6f5 e1c1 f5d3,1500,500,100,3,crushing middlegame short,https://lichess.org/ybuM6OK3#39
342,00XZR,8/2p5/p1n5/1pP1p2k/1P1p4/P2P3P/5P2/R4KRq b - - 9 34,h1h3 f1e2 e5e4 g1h1 e4d3 e2d2,1557,121,100,52,crushing defensiveMove endgame long pin,https://lichess.org/cvl7Zq2b/black#68
346,00Xp9,r2r2k1/p4ppp/1p6/N1p1n3/4n3/P3P3/1P2BPPP/1R1R2K1 w - - 0 20,a5c4 e5c4 e2c4 e4d2,1711,334,100,8,crushing master middlegame short,https://lichess.org/y5EZvhc9#39
347,00Xr8,6k1/pp1n3p/2p1bppb/2q1p3/2P1P3/1PQN1PPP/PB4BK/8 b - - 5 25,c5e3 b2c1 e3d4 c3d4 e5d4 c1h6,1623,75,100,144,crushing long middlegame,https://lichess.org/mvexWrte/black#50
348,00Y1c,5rk1/Q4p2/5p1p/2q5/8/8/P1r2PPP/3RR1K1 w - - 4 23,a7d7 c5f2 g1h1 f2g2,960,75,100,95,endgame mate mateIn2 short,https://lichess.org/T4YH4yAb#45
350,00YMX,r5k1/1p2pp2/p2p3B/3P1P2/2P1P3/3p3Q/Pq6/R4K2 w - - 0 29,h3g4 g8h7 a1e1 h7h6,1608,209,100,11,defensiveMove endgame equality short,https://lichess.org/78vTggqs#57
353,00Ybq,2rr4/4kp2/p3p2q/1p3nNP/3PQP2/P1N5/1P3K2/6R1 b - - 0 34,d8d4 e4b7 d4d7 b7c8,1500,500,100,0,crushing fork middlegame short,https://lichess.org/TunHPHtZ/black#68
355,00Ygn,5rk1/p3Rp1p/5pp1/np1q4/r2P4/2P2N2/PQ3PPP/2R3K1 w - - 4 22,e7a7 a5c4 a7a4 c4b2,1349,354,100,1,crushing middlegame short,https://lichess.org/B6LsArpZ#43
362,00ZSZ,3r4/6pp/pNnNpk2/1p6/3pR3/8/PPP2PPK/8 w - - 4 32,e4f4 f6e5 d6f7 e5f4 f7d8 c6d8,896,76,100,332,advantage defensiveMove endgame long,https://lichess.org/66DBsV70#63
363,00ZWD,6k1/4bpp1/1q2p3/p2pP1N1/3P3P/1P1Q2K1/5P2/8 b - - 0 33,b6b4 d3h7 g8f8 h7h8,961,230,100,7,endgame mate mateIn2 short,https://lichess.org/2rMTqooF/black#66
372,00ae5,2r1kb1r/1p3pp1/pqn1pnp1/3p4/1P1P1B2/P1N2N1P/2P2PP1/R2QK2R b KQk - 0 13,c6b4 c3a4 b6b5 a3b4,2222,220,100,8,equality middlegame short,https://lichess.org/VPTKzgUW/black#26
373,00agR,8/5pp1/p4n1p/1p2k3/8/1PK1P3/P1B2P1P/8 w - - 2 31,h2h3 f6e4 c2e4 e5e4,1460,444,100,3,crushing endgame short,https://lichess.org/MUIpGzM3#61
374,00asK,2r3k1/R4ppp/8/4P3/4Q3/1qn3B1/5PPP/2R3K1 w - - 0 30,c1c3 b3d1 e4e1 d1e1,1559,113,100,39,endgame mate mateIn2 short,https://lichess.org/hlWKSG6i#59
378,00bFH,4r1k1/1q3ppp/3B1n2/p2P4/8/Pp3Q1P/5PPN/1R4K1 w - - 0 27,f3b3 e8e1 b1e1 b7b3,1485,198,100,12,deflection equality middlegame short,https://lichess.org/E8lzVecv#53
382,00bXU,5r1k/p3q1p1/1p4pp/1P1BP1n1/2P1n1P1/5N1P/6Q1/5RK1 b - - 4 34,g5f3 f1f3 f8f3 g2f3,1472,263,100,6,equality middlegame short,https://lichess.org/hnvrdsFu/black#68
412,00eak,4r1k1/5pp1/5n1p/P5r1/7q/1QP1p1PP/1P3P2/R3RBK1 w - - 0 27,g1h2 f6g4 h2g2 g4f2,1710,268,100,11,crushing middlegame pin short,https://lichess.org/FQ3hbxjY#53
416,00fDM,3rrbk1/2p3R1/1p2q2Q/3p4/1P6/2B4P/6P1/3R2K1 b - - 0 33,f8g7 h6g7,1052,126,100,58,mate mateIn1 middlegame oneMove,https://lichess.org/sx01PyS8/black#66
417,00fK0,r2q1r2/pp3pk1/2np1Np1/2pN1b2/2B4Q/3P4/PPP3PP/R5K1 b - - 1 17,f5e6 h4h7,1478,470,100,1,mate mateIn1 oneMove,https://lichess.org/PSCBXZwl/black#34
429,00gNl,6k1/5R2/pp4p1/2p4p/7P/1P1r4/P3r1PK/5R2 b - - 0 38,d3d2 f7f8 g8h7 f1f7 h7h6 f8h8,1046,114,100,34,endgame exposedKing long mate mateIn3 rookEndgame,https://lichess.org/JhG6365X/black#76
431,00ghH,5r1k/6p1/1Q2pq1p/P4r2/3P4/2P1R3/6PP/4R1K1 w - - 1 39,d4d5 f5f1 e1f1 f6f1,1072,186,100,19,endgame mate mateIn2 short,https://lichess.org/ycQ7nVZM#77
440,00hUl,2kr4/1pq2p2/p3p1p1/2b1n2p/Q1P2B2/7P/P3BPP1/1R4K1 b - - 1 24,c5d6 c4c5 c7c6 a4c6,1742,257,100,6,crushing middlegame queensideAttack short,https://lichess.org/YyZRpbZ3/black#48
442,00hbV,8/pk1r1bR1/1p6/8/2P2N2/1P6/1K6/8 b - - 21 60,f7e6 f4e6 d7g7 e6g7,1037,125,100,37,crushing endgame hangingPiece short,https://lichess.org/DL4VBFov/black#120
451,00irz,8/2r1ppk1/8/3P2pP/1Kp1Pp2/1bR5/4BP2/8 w - - 8 40,e2c4 c7c4 c3c4 b3c4 b4c4 f7f6,1913,194,100,10,crushing defensiveMove endgame long,https://lichess.org/H4eT5TpG#79
452,00itj,8/1pB5/3P2k1/3r2p1/8/4PK1P/7P/8 b - - 2 42,g6f5 e3e4 f5e6 e4d5,1103,180,100,18,crushing endgame fork short,https://lichess.org/LAGoAAgQ/black#84
454,00j1r,8/2rkb3/1p6/6P1/5q2/3R4/Q1P1K3/8 b - - 4 37,d7c6 a2d5,1059,157,100,31,dovetailMate endgame mate mateIn1 oneMove,https://lichess.org/2Nj3D5mV/black#74
460,00jgd,5Q2/8/8/8/pn6/k6r/8/2K5 w - - 2 83,f8d6 h3c3 c1d2 c3d3 d6d3 b4d3,1957,143,100,29,crushing endgame exposedKing fork long,https://lichess.org/8DDrygoE#165
479,00mFI,4r2k/2q1r3/2p4Q/p5P1/1p1Pp1P1/2P1N2P/PP6/4bRK1 b - - 0 28,e7h7 f1f8 e8f8 h6f8,1561,102,100,66,kingsideAttack mate mateIn2 middlegame short,https://lichess.org/kiOTTNFh/black#56
482,00mNT,8/2q2p1p/R2bpkp1/2p5/4pP2/3r3P/1Q4P1/R5K1 b - - 3 38,f6f5 a6a7 d3d1 a1d1,2157,166,100,8,crushing endgame short,https://lichess.org/oxSgw2VP/black#76
484,00mST,r4r2/ppk4p/n2N2p1/2p5/4Pb2/2P4P/PP2B2R/1K1R4 w - - 0 25,e4e5 f4h2 d6b5 c7b6 d1d6 b6a5 b5a3 f8f4,1892,224,100,20,crushing defensiveMove hangingPiece middlegame veryLong,https://lichess.org/TnR9jLpy#49
500,00oQO,5rk1/1p4pp/p7/3R1N2/4rn2/6KP/PPR2PP1/8 w - - 1 34,d5d4 f4e2 c2e2 e4e2,1452,124,100,31,crushing endgame fork master short,https://lichess.org/Gv6O3qzw#67
506,00ogc,1r4k1/5p2/4p1pp/3p4/3P4/q1P3P1/PrRQRP1P/6K1 b - - 11 27,a3a2 c2b2 b8b2 d2b2,845,93,100,34,crushing endgame short,https://lichess.org/rlxeM6QT/black#54
518,00pYK,2r3k1/1p2n1p1/p2b2r1/3q1pPQ/3Pp1P1/1P2B2R/P6P/5RK1 b - - 0 22,c8f8 h5h7 g8f7 g4f5 f7e8 f5g6 f8f1 g1f1,1658,198,100,11,equality kingsideAttack middlegame trappedPiece veryLong,https://lichess.org/1B6oNZCt/black#44
523,00q6t,q2r2k1/5pbp/p5p1/1p6/2pP1P2/P1N1P1Pb/1P1B1R1P/1Q4K1 b - - 4 21,d8d4 e3d4 g7d4 b1e4 a8e4 c3e4,1689,332,100,2,crushing long middlegame,https://lichess.org/elTDSfzq/black#42
525,00q8C,1rb3k1/p2q2bp/2p4r/2P1p1p1/3pPp2/1P1P1P2/PB1NN1nP/1R2QRK1 w - - 0 22,g1g2 d7h3 g2g1 h3h2,892,76,100,517,mate mateIn2 middlegame short,https://lichess.org/yArItGfX#43
528,00qX2,1r2r2k/Q1R4p/4q1p1/4Bb2/8/8/PP3PPP/3R2K1 b - - 0 28,e6e5 c7h7 h8g8 a7f7,1354,75,100,653,mate mateIn2 middlegame short,https://lichess.org/aDxQAOeN/black#56
534,00rIF,1r6/p7/1p3k1K/P2p2pR/2p5/2P3P1/2P3P1/1R6 w - - 3 36,h5g5 b8h8,683,93,100,90,endgame mate mateIn1 oneMove rookEndgame,https://lichess.org/aOqnitxA#71
539,00rqm,2r2r1k/3b3n/p6q/1p1nN3/7P/3P2Q1/PPP2P2/1K4RR b - - 0 30,d7f5 g3g8 f8g8 e5f7,1761,93,100,60,kingsideAttack mate mateIn2 middlegame sacrifice short,https://lichess.org/v9qNACJc/black#60
552,00t2W,r3r1k1/p4ppp/2p5/5q2/2RPn3/3Q2B1/P4PPP/4R1K1 w - - 3 27,f2f3 e4g3 e1e8 a8e8 d3f5 g3f5,1500,500,100,1,crushing long middlegame,https://lichess.org/5iA4aErC#53
555,00tTz,8/p6p/3b2pk/5p1n/2B4q/1P3P2/P5QP/5R1K w - - 10 35,f1d1 h5g3 g2g3 d6g3,1225,171,100,19,crushing endgame pin short,https://lichess.org/cDY5GbVr#69
559,00tlr,r2r2k1/p3Rp1p/5Qp1/8/8/2P4P/q4PP1/4R1K1 b - - 1 24,a7a5 h3h4 a2d5 e1e5,2284,132,100,19,crushing endgame quietMove short,https://lichess.org/DFxAKFNR/black#48
566,00uN7,1n6/3rk3/p2p2p1/N2Bp1P1/1p2PnQ1/1P3P2/P1P4q/1K1R4 w - - 2 33,a5c6 b8c6 d5c6 d7c7,1500,500,100,0,crushing middlegame short,https://lichess.org/zQEDLHBB#65
569,00v6q,2Q1k3/4qpp1/2pr4/2Np4/3P4/7P/P1P3P1/6K1 b - - 4 34,e7d8 c5b7 d8c8 b7d6 e8d7 d6c8,1647,332,100,5,crushing endgame fork long sacrifice,https://lichess.org/EWyPP874/black#68
570,00vUf,3R4/p4pkp/2p5/6p1/1P1B4/r3PP2/2r3PP/5K2 b - - 6 31,g7g6 d8d6 f7f6 d6f6 g6g7 f6c6,1539,223,100,13,crushing discoveredAttack endgame long,https://lichess.org/87kUHyPW/black#62
587,00xDW,7k/5Bp1/3p3p/8/4P1n1/r1rP4/6PP/1R1R2K1 b - - 0 36,c3d3 d1d3 a3d3 f7g6,1877,166,100,10,crushing defensiveMove endgame short,https://lichess.org/wblYR1Kt/black#72
589,00xIC,3rr1k1/1R3ppp/8/2p5/q2p1B2/3Q2P1/P1R2P1P/6K1 w - - 3 28,d3c4 e8e1 g1g2 a4c6 f2f3 c6b7,1379,234,100,11,crushing fork long middlegame,https://lichess.org/b4qtd9O6#55
596,00yLn,2k1b3/pp6/2p1N1p1/2P2p2/3K4/P4r2/8/R7 b - - 1 31,e8f7 e6g5 f7d5 g5f3,1215,139,100,41,endgame equality fork short,https://lichess.org/JgcSpYyU/black#62
598,00yWQ,8/5pk1/4b2p/8/2r1NKP1/4P2P/5R2/8 w - - 12 51,f4f3 e6d5 f2d2 d5e4,1460,233,100,7,crushing endgame short,https://lichess.org/lJke9dkh#101
611,0100g,8/8/5k2/R7/2P1K2r/8/P7/8 w - - 1 43,e4d5 h4h5 d5d6 h5a5,1044,201,100,9,crushing endgame rookEndgame short skewer,https://lichess.org/PPDNNe1y#85
