raw_id,raw_split,split,input,output
30,train,0,China on Thursday accused Taipei of spoiling the atmosphere for a resumption of talks across the Taiwan Strait with a visit to Ukraine by Taiwanese Vice President Lien Chan this week that infuriated Beijing .,"{""person"": [""Lien Chan""], ""organization"": [], ""location"": [""China"", ""Taipei"", ""Taiwan Strait"", ""Ukraine"", ""Beijing""], ""miscellaneous"": [""Taiwanese""]}"
31,train,0,"Speaking only hours after Chinese state media said the time was right to engage in political talks with Taiwan , Foreign Ministry spokesman Shen Guofang told Reuters : "" The necessary atmosphere for the opening of the talks has been disrupted by the Taiwan authorities . ""","{""person"": [""Shen Guofang""], ""organization"": [""Foreign Ministry"", ""Reuters""], ""location"": [""Taiwan"", ""Taiwan""], ""miscellaneous"": [""Chinese""]}"
32,train,0,"State media quoted China 's top negotiator with Taipei , Tang Shubei , as telling a visiting group from Taiwan on Wednesday that it was time for the rivals to hold political talks .","{""person"": [""Tang Shubei""], ""organization"": [], ""location"": [""China"", ""Taipei"", ""Taiwan""], ""miscellaneous"": []}"
33,train,0,""" Now is the time for the two sides to engage in political talks ...","{""person"": [], ""organization"": [], ""location"": [], ""miscellaneous"": []}"
34,train,0,"that is to end the state of hostility , "" Thursday 's overseas edition of the People 's Daily quoted Tang as saying .","{""person"": [""Tang""], ""organization"": [""People 's Daily""], ""location"": [], ""miscellaneous"": []}"
35,train,0,"The foreign ministry 's Shen told Reuters Television in an interview he had read reports of Tang 's comments but gave no details of why the negotiator had considered the time right for talks with Taiwan , which Beijing considers a renegade province .","{""person"": [""Tang""], ""organization"": [""Shen"", ""Reuters Television""], ""location"": [""Taiwan"", ""Beijing""], ""miscellaneous"": []}"
36,train,0,"China , which has long opposed all Taipei efforts to gain greater international recognition , was infuriated by a visit to Ukraine this week by Taiwanese Vice President Lien .","{""person"": [""Lien""], ""organization"": [], ""location"": [""China"", ""Taipei"", ""Ukraine""], ""miscellaneous"": [""Taiwanese""]}"
37,train,0,China says time right for Taiwan talks .,"{""person"": [], ""organization"": [], ""location"": [""China"", ""Taiwan""], ""miscellaneous"": []}"
38,train,0,BEIJING 1996-08-22,"{""person"": [], ""organization"": [], ""location"": [""BEIJING""], ""miscellaneous"": []}"
39,train,0,China has said it was time for political talks with Taiwan and that the rival island should take practical steps towards that goal .,"{""person"": [], ""organization"": [], ""location"": [""China"", ""Taiwan""], ""miscellaneous"": []}"
40,train,0,"Consultations should be held to set the time and format of the talks , the official Xinhua news agency quoted Tang Shubei , executive vice chairman of the Association for Relations Across the Taiwan Straits , as saying late on Wednesday .","{""person"": [""Tang Shubei""], ""organization"": [""Xinhua"", ""Association for Relations Across the Taiwan Straits""], ""location"": [], ""miscellaneous"": []}"
41,train,0,German July car registrations up 14.2 pct yr / yr .,"{""person"": [], ""organization"": [], ""location"": [], ""miscellaneous"": [""German""]}"
42,train,0,FRANKFURT 1996-08-22,"{""person"": [], ""organization"": [], ""location"": [""FRANKFURT""], ""miscellaneous"": []}"
43,train,0,"German first-time registrations of motor vehicles jumped 14.2 percent in July this year from the year-earlier period , the Federal office for motor vehicles said on Thursday .","{""person"": [], ""organization"": [""Federal office for motor vehicles""], ""location"": [], ""miscellaneous"": [""German""]}"
44,train,0,"The office said 356,725 new cars were registered in July 1996 -- 304,850 passenger cars and 15,613 trucks .","{""person"": [], ""organization"": [], ""location"": [], ""miscellaneous"": []}"
45,train,0,The figures represent a 13.6 percent increase for passenger cars and a 2.2 percent decline for trucks from July 1995 .,"{""person"": [], ""organization"": [], ""location"": [], ""miscellaneous"": []}"
46,train,0,Motor-bike registration rose 32.7 percent in the period .,"{""person"": [], ""organization"": [], ""location"": [], ""miscellaneous"": []}"
47,train,0,"The growth was partly due to an increased number of Germans buying German cars abroad , while manufacturers said that domestic demand was weak , the federal office said .","{""person"": [], ""organization"": [], ""location"": [], ""miscellaneous"": [""Germans"", ""German""]}"
48,train,0,Almost all German car manufacturers posted gains in registration numbers in the period .,"{""person"": [], ""organization"": [], ""location"": [], ""miscellaneous"": [""German""]}"
49,train,0,"Volkswagen AG won 77,719 registrations , slightly more than a quarter of the total .","{""person"": [], ""organization"": [""Volkswagen AG""], ""location"": [], ""miscellaneous"": []}"
50,train,0,"Opel AG together with General Motors came in second place with 49,269 registrations , 16.4 percent of the overall figure .","{""person"": [], ""organization"": [""Opel AG"", ""General Motors""], ""location"": [], ""miscellaneous"": []}"
51,train,0,"Third was Ford with 35,563 registrations , or 11.7 percent .","{""person"": [], ""organization"": [""Ford""], ""location"": [], ""miscellaneous"": []}"
52,train,0,Only Seat and Porsche had fewer registrations in July 1996 compared to last year 's July .,"{""person"": [], ""organization"": [""Seat"", ""Porsche""], ""location"": [], ""miscellaneous"": []}"
53,train,0,"Seat posted 3,420 registrations compared with 5522 registrations in July a year earlier .","{""person"": [], ""organization"": [""Seat""], ""location"": [], ""miscellaneous"": []}"
54,train,0,Porsche 's registrations fell to 554 from 643 .,"{""person"": [], ""organization"": [""Porsche""], ""location"": [], ""miscellaneous"": []}"
55,train,0,GREEK SOCIALISTS GIVE GREEN LIGHT TO PM FOR ELECTIONS .,"{""person"": [], ""organization"": [], ""location"": [], ""miscellaneous"": [""GREEK""]}"
56,train,0,ATHENS 1996-08-22,"{""person"": [], ""organization"": [], ""location"": [""ATHENS""], ""miscellaneous"": []}"
57,train,0,"The Greek socialist party 's executive bureau gave the green light to Prime Minister Costas Simitis to call snap elections , its general secretary Costas Skandalidis told reporters .","{""person"": [""Costas Simitis"", ""Costas Skandalidis""], ""organization"": [], ""location"": [], ""miscellaneous"": [""Greek""]}"
58,train,0,"Prime Minister Costas Simitis is going to make an official announcement after a cabinet meeting later on Thursday , said Skandalidis .","{""person"": [""Costas Simitis"", ""Skandalidis""], ""organization"": [], ""location"": [], ""miscellaneous"": []}"
59,train,0,"-- Dimitris Kontogiannis , Athens Newsroom +301 3311812-4","{""person"": [""Dimitris Kontogiannis""], ""organization"": [""Athens Newsroom""], ""location"": [], ""miscellaneous"": []}"
60,train,0,BayerVB sets C$ 100 million six-year bond .,"{""person"": [], ""organization"": [""BayerVB""], ""location"": [], ""miscellaneous"": [""C$""]}"
61,train,0,LONDON 1996-08-22,"{""person"": [], ""organization"": [], ""location"": [""LONDON""], ""miscellaneous"": []}"
62,train,0,The following bond was announced by lead manager Toronto Dominion .,"{""person"": [""Toronto Dominion""], ""organization"": [], ""location"": [], ""miscellaneous"": []}"
63,train,0,BORROWER BAYERISCHE VEREINSBANK,"{""person"": [], ""organization"": [""BAYERISCHE VEREINSBANK""], ""location"": [], ""miscellaneous"": []}"
64,train,0,AMT C$ 100 MLN COUPON 6.625 MATURITY 24.SEP.02,"{""person"": [], ""organization"": [], ""location"": [], ""miscellaneous"": [""C$""]}"
65,train,0,TYPE STRAIGHT ISS PRICE 100.92 PAY DATE 24.SEP.96,"{""person"": [], ""organization"": [], ""location"": [], ""miscellaneous"": []}"
66,train,0,FULL FEES 1.875 REOFFER 99.32 SPREAD +20 BP,"{""person"": [], ""organization"": [], ""location"": [], ""miscellaneous"": []}"
67,train,0,MOODY AA1 LISTING LUX PAY FREQ =,"{""person"": [], ""organization"": [], ""location"": [], ""miscellaneous"": []}"
68,train,0,S&P = DENOMS ( K ) 1-10-100 SALE LIMITS US / UK / CA,"{""person"": [], ""organization"": [""S&P""], ""location"": [""US"", ""UK"", ""CA""], ""miscellaneous"": []}"
69,train,0,NEG PLG NO CRS DEFLT NO FORCE MAJ =,"{""person"": [], ""organization"": [], ""location"": [], ""miscellaneous"": []}"
70,train,0,GOV LAW GERMAN HOME CTRY = TAX PROVS STANDARD,"{""person"": [], ""organization"": [], ""location"": [], ""miscellaneous"": [""GERMAN""]}"
71,train,0,MGT / UND 0.275 SELL CONC 1.60 PRAECIP =,"{""person"": [], ""organization"": [], ""location"": [], ""miscellaneous"": []}"
72,train,0,UNDERLYING GOVT BOND 7.0 PCT SEPT 2001,"{""person"": [], ""organization"": [], ""location"": [], ""miscellaneous"": []}"
73,train,0,NOTES BAYERISCHE VEREINSBANK IS JOINT LEAD MANAGER,"{""person"": [], ""organization"": [""BAYERISCHE VEREINSBANK""], ""location"": [], ""miscellaneous"": []}"
74,train,0,-- London Newsroom +44 171 542 7658,"{""person"": [], ""organization"": [""London Newsroom""], ""location"": [], ""miscellaneous"": []}"
75,train,0,Venantius sets $ 300 million January 1999 FRN .,"{""person"": [], ""organization"": [""Venantius""], ""location"": [], ""miscellaneous"": []}"
76,train,0,LONDON 1996-08-22,"{""person"": [], ""organization"": [], ""location"": [""LONDON""], ""miscellaneous"": []}"
77,train,0,The following floating-rate issue was announced by lead manager Lehman Brothers International .,"{""person"": [], ""organization"": [""Lehman Brothers International""], ""location"": [], ""miscellaneous"": []}"
78,train,0,BORROWER VENANTIUS AB ( SWEDISH NATIONAL MORTGAGE AGENCY ),"{""person"": [], ""organization"": [""VENANTIUS AB""], ""location"": [], ""miscellaneous"": [""SWEDISH""]}"
79,train,0,AMT $ 300 MLN SPREAD - 12.5 BP MATURITY 21.JAN.99,"{""person"": [], ""organization"": [], ""location"": [], ""miscellaneous"": []}"
80,train,0,TYPE FRN BASE 3M LIBOR PAY DATE S23.SEP.96,"{""person"": [], ""organization"": [""3M""], ""location"": [], ""miscellaneous"": []}"
81,train,0,LAST MOODY AA3 ISS PRICE 99.956 FULL FEES 10 BP,"{""person"": [], ""organization"": [], ""location"": [], ""miscellaneous"": []}"
82,train,0,LAST S&P AA+ REOFFER =,"{""person"": [], ""organization"": [""S&P""], ""location"": [], ""miscellaneous"": []}"
83,train,0,NOTES S SHORT FIRST COUPON,"{""person"": [], ""organization"": [], ""location"": [], ""miscellaneous"": []}"
84,train,0,LISTING LONDON DENOMS ( K ) 1-10-100 SALE LIMITS US / UK / JP / FR,"{""person"": [], ""organization"": [], ""location"": [""LONDON"", ""US"", ""UK"", ""JP"", ""FR""], ""miscellaneous"": []}"
85,train,0,NEG PLG YES CRS DEFLT NO FORCE MAJ IPMA 2,"{""person"": [], ""organization"": [], ""location"": [], ""miscellaneous"": []}"
86,train,0,GOV LAW ENGLISH HOME CTRY SWEDEN TAX PROVS STANDARD,"{""person"": [], ""organization"": [], ""location"": [""SWEDEN""], ""miscellaneous"": [""ENGLISH""]}"
87,train,0,MGT / UND 5 BP SELL CONC 5 BP PRAECIP =,"{""person"": [], ""organization"": [], ""location"": [], ""miscellaneous"": []}"
88,train,0,NOTES ISSUED OFF EMTN PROGRAMME,"{""person"": [], ""organization"": [], ""location"": [], ""miscellaneous"": []}"
89,train,0,-- London Newsroom +44 171 542 8863,"{""person"": [], ""organization"": [""London Newsroom""], ""location"": [], ""miscellaneous"": []}"
90,train,0,Port conditions update - Syria - Lloyds Shipping .,"{""person"": [], ""organization"": [""Lloyds Shipping""], ""location"": [""Syria""], ""miscellaneous"": []}"
91,train,0,Port conditions from Lloyds Shipping Intelligence Service --,"{""person"": [], ""organization"": [""Lloyds Shipping Intelligence Service""], ""location"": [], ""miscellaneous"": []}"
92,train,0,"LATTAKIA , Aug 10 - waiting time at Lattakia and Tartous presently 24 hours .","{""person"": [], ""organization"": [], ""location"": [""LATTAKIA"", ""Lattakia"", ""Tartous""], ""miscellaneous"": []}"
93,train,0,Israel plays down fears of war with Syria .,"{""person"": [], ""organization"": [], ""location"": [""Israel"", ""Syria""], ""miscellaneous"": []}"
94,train,0,Colleen Siegel,"{""person"": [""Colleen Siegel""], ""organization"": [], ""location"": [], ""miscellaneous"": []}"
95,train,0,JERUSALEM 1996-08-22,"{""person"": [], ""organization"": [], ""location"": [""JERUSALEM""], ""miscellaneous"": []}"
96,train,0,Israel 's outgoing peace negotiator with Syria said on Thursday current tensions between the two countries appeared to be a storm in a teacup .,"{""person"": [], ""organization"": [], ""location"": [""Israel"", ""Syria""], ""miscellaneous"": []}"
97,train,0,"Itamar Rabinovich , who as Israel 's ambassador to Washington conducted unfruitful negotiations with Syria , told Israel Radio it looked like Damascus wanted to talk rather than fight .","{""person"": [""Itamar Rabinovich""], ""organization"": [""Israel Radio""], ""location"": [""Israel"", ""Washington"", ""Syria"", ""Damascus""], ""miscellaneous"": []}"
98,train,0,""" It appears to me the Syrian priority is still to negotiate .","{""person"": [], ""organization"": [], ""location"": [], ""miscellaneous"": [""Syrian""]}"
99,train,0,"The Syrians are confused , they are definitely tense , but the general assessment here in Washington is that this is essentially a storm in a teacup , "" he said .","{""person"": [], ""organization"": [], ""location"": [""Washington""], ""miscellaneous"": [""Syrians""]}"
100,train,0,Rabinovich is winding up his term as ambassador .,"{""person"": [""Rabinovich""], ""organization"": [], ""location"": [], ""miscellaneous"": []}"
101,train,0,"He will be replaced by Eliahu Ben-Elissar , a former Israeli envoy to Egypt and right-wing Likud party politician .","{""person"": [""Eliahu Ben-Elissar""], ""organization"": [""Likud""], ""location"": [""Egypt""], ""miscellaneous"": [""Israeli""]}"
102,train,0,"Israel on Wednesday sent Syria a message , via Washington , saying it was committed to peace and wanted to open negotiations without preconditions .","{""person"": [], ""organization"": [], ""location"": [""Israel"", ""Syria"", ""Washington""], ""miscellaneous"": []}"
103,train,0,But it slammed Damascus for creating what it called a dangerous atmosphere .,"{""person"": [], ""organization"": [], ""location"": [""Damascus""], ""miscellaneous"": []}"
104,train,0,Syria accused Israel on Wednesday of launching a hysterical campaign against it after Israeli television reported that Damascus had recently test fired a missile .,"{""person"": [], ""organization"": [], ""location"": [""Syria"", ""Israel"", ""Damascus""], ""miscellaneous"": [""Israeli""]}"
105,train,0,It said its arms purchases were for defensive purposes .,"{""person"": [], ""organization"": [], ""location"": [], ""miscellaneous"": []}"
106,train,0,""" The message that we sent to ( Syrian President Hafez al- ) Assad is that Israel is ready at any time without preconditions to enter peace negotiations , "" Israeli Foreign Minister David Levy told Israel Radio in an interview .","{""person"": [""Hafez al-"", ""Assad"", ""David Levy""], ""organization"": [""Israel Radio""], ""location"": [""Israel""], ""miscellaneous"": [""Syrian"", ""Israeli""]}"
107,train,0,Tension has mounted since Israeli Prime Minister Benjamin Netanyahu took office in June vowing to retain the Golan Heights Israel captured from Syria in the 1967 Middle East war .,"{""person"": [""Benjamin Netanyahu""], ""organization"": [], ""location"": [""Golan Heights"", ""Israel"", ""Syria"", ""Middle East""], ""miscellaneous"": [""Israeli""]}"
108,train,0,Israeli-Syrian peace talks have been deadlocked over the Golan since 1991 despite the previous government 's willingness to make Golan concessions .,"{""person"": [], ""organization"": [], ""location"": [""Golan"", ""Golan""], ""miscellaneous"": [""Israeli-Syrian""]}"
109,train,0,Peace talks between the two sides were last held in February .,"{""person"": [], ""organization"": [], ""location"": [], ""miscellaneous"": []}"
110,train,0,""" The voices coming out of Damascus are bad , not good .","{""person"": [], ""organization"": [], ""location"": [""Damascus""], ""miscellaneous"": []}"
111,train,0,The media ...,"{""person"": [], ""organization"": [], ""location"": [], ""miscellaneous"": []}"
112,train,0,are full of expressions and declarations that must be worrying ...,"{""person"": [], ""organization"": [], ""location"": [], ""miscellaneous"": []}"
113,train,0,"this artificial atmosphere is very dangerous because those who spread it could become its prisoners , "" Levy said .","{""person"": [""Levy""], ""organization"": [], ""location"": [], ""miscellaneous"": []}"
114,train,0,""" We expect from Syria , if its face is to peace , that it will answer Israel 's message to enter peace negotiations because that is our goal , "" he said . ""","{""person"": [], ""organization"": [], ""location"": [""Syria"", ""Israel""], ""miscellaneous"": []}"
115,train,0,"We do not want a war , God forbid .","{""person"": [""God""], ""organization"": [], ""location"": [], ""miscellaneous"": []}"
116,train,0,"No one benefits from wars . ""","{""person"": [], ""organization"": [], ""location"": [], ""miscellaneous"": []}"
117,train,0,"Israel 's Channel Two television said Damascus had sent a "" calming signal "" to Israel .","{""person"": [], ""organization"": [""Channel Two""], ""location"": [""Israel"", ""Damascus"", ""Israel""], ""miscellaneous"": []}"
118,train,0,It gave no source for the report .,"{""person"": [], ""organization"": [], ""location"": [], ""miscellaneous"": []}"
119,train,0,Netanyahu and Levy 's spokesmen said they could not confirm it .,"{""person"": [""Netanyahu"", ""Levy""], ""organization"": [], ""location"": [], ""miscellaneous"": []}"
120,train,0,"The television also said that Netanyahu had sent messages to reassure Syria via Cairo , the United States and Moscow .","{""person"": [""Netanyahu""], ""organization"": [], ""location"": [""Syria"", ""Cairo"", ""United States"", ""Moscow""], ""miscellaneous"": []}"
121,train,0,Polish diplomat denies nurses stranded in Libya .,"{""person"": [], ""organization"": [], ""location"": [""Libya""], ""miscellaneous"": [""Polish""]}"
122,train,0,TUNIS 1996-08-22,"{""person"": [], ""organization"": [], ""location"": [""TUNIS""], ""miscellaneous"": []}"
123,train,0,A Polish diplomat on Thursday denied a Polish tabloid report this week that Libya was refusing exit visas to 100 Polish nurses trying to return home after working in the North African country .,"{""person"": [], ""organization"": [], ""location"": [""Libya""], ""miscellaneous"": [""Polish"", ""Polish"", ""Polish"", ""North African""]}"
124,train,0,""" This is not true .","{""person"": [], ""organization"": [], ""location"": [], ""miscellaneous"": []}"
125,train,0,"Up to today , we have no knowledge of any nurse stranded or kept in Libya without her will , and we have not received any complaint , "" the Polish embassy 's charge d'affaires in Tripoli , Tadeusz Awdankiewicz , told Reuters by telephone .","{""person"": [""Tadeusz Awdankiewicz""], ""organization"": [""Reuters""], ""location"": [""Libya"", ""Tripoli""], ""miscellaneous"": [""Polish""]}"
126,train,0,"Poland 's labour ministry said this week it would send a team to Libya to investigate , but Awdankiewicz said the probe was prompted by some nurses complaining about their work conditions such as non-payment of their salaries .","{""person"": [""Awdankiewicz""], ""organization"": [], ""location"": [""Poland"", ""Libya""], ""miscellaneous"": []}"
127,train,0,He said that there are an estimated 800 Polish nurses working in Libya .,"{""person"": [], ""organization"": [], ""location"": [""Libya""], ""miscellaneous"": [""Polish""]}"
128,train,0,Two Iranian opposition leaders meet in Baghdad .,"{""person"": [], ""organization"": [], ""location"": [""Baghdad""], ""miscellaneous"": [""Iranian""]}"
129,train,0,Hassan Hafidh,"{""person"": [""Hassan Hafidh""], ""organization"": [], ""location"": [], ""miscellaneous"": []}"
130,train,0,BAGHDAD 1996-08-22,"{""person"": [], ""organization"": [], ""location"": [""BAGHDAD""], ""miscellaneous"": []}"
131,train,0,An Iranian exile group based in Iraq vowed on Thursday to extend support to Iran 's Kurdish rebels after they were attacked by Iranian troops deep inside Iraq last month .,"{""person"": [], ""organization"": [], ""location"": [""Iraq"", ""Iran"", ""Iraq""], ""miscellaneous"": [""Iranian"", ""Kurdish"", ""Iranian""]}"
132,train,0,A Mujahideen Khalq statement said its leader Massoud Rajavi met in Baghdad the Secretary-General of the Kurdistan Democratic Party of Iran ( KDPI ) Hassan Rastegar on Wednesday and voiced his support to Iran 's rebel Kurds .,"{""person"": [""Massoud Rajavi"", ""Hassan Rastegar""], ""organization"": [""Mujahideen Khalq"", ""Kurdistan Democratic Party of Iran"", ""KDPI""], ""location"": [""Baghdad"", ""Iran""], ""miscellaneous"": [""Kurds""]}"
133,train,0,""" Rajavi emphasised that the Iranian Resistance would continue to stand side by side with their Kurdish compatriots and the resistance movement in Iranian Kurdistan , "" it said .","{""person"": [], ""organization"": [""Resistance""], ""location"": [""Iranian Kurdistan""], ""miscellaneous"": [""Rajavi"", ""Iranian"", ""Kurdish""]}"
134,train,0,"A spokesman for the group said the meeting "" signals a new level of cooperation between Mujahideen Khalq and the Iranian Kurdish oppositions "" .","{""person"": [], ""organization"": [""Mujahideen Khalq""], ""location"": [], ""miscellaneous"": [""Iranian Kurdish""]}"
135,train,0,Iran heavily bombarded targets in northern Iraq in July in pursuit of KDPI guerrillas based in Iraqi Kurdish areas outside the control of the government in Baghdad .,"{""person"": [], ""organization"": [""KDPI""], ""location"": [""Iran"", ""Iraq"", ""Baghdad""], ""miscellaneous"": [""Iraqi Kurdish""]}"
136,train,0,Iraqi Kurdish areas bordering Iran are under the control of guerrillas of the Iraqi Kurdish Patriotic Union of Kurdistan ( PUK ) group .,"{""person"": [], ""organization"": [""Iraqi Kurdish Patriotic Union of Kurdistan"", ""PUK""], ""location"": [""Iran""], ""miscellaneous"": [""Iraqi Kurdish""]}"
137,train,0,"PUK and Iraq 's Kurdistan Democratic Party ( KDP ) the two main Iraqi Kurdish factions , have had northern Iraq under their control since Iraqi forces were ousted from Kuwait in the 1991 Gulf War .","{""person"": [], ""organization"": [""PUK"", ""Kurdistan Democratic Party"", ""KDP""], ""location"": [""Iraq"", ""Iraq"", ""Kuwait""], ""miscellaneous"": [""Iraqi Kurdish"", ""Iraqi"", ""Gulf War""]}"
138,train,0,Clashes between the two parties broke out at the weekend in the most serious fighting since a U.S.-sponsored ceasefire last year .,"{""person"": [], ""organization"": [], ""location"": [], ""miscellaneous"": [""U.S.-sponsored""]}"
139,train,0,Mujahideen Khalq said Iranian troops had also been shelling KDP positions in Qasri region in Suleimaniya province near the Iranian border over the last two days .,"{""person"": [], ""organization"": [""Mujahideen Khalq"", ""KDP""], ""location"": [""Qasri"", ""Suleimaniya""], ""miscellaneous"": [""Iranian"", ""Iranian""]}"
140,train,0,It said about 100 Iraqi Kurds were killed or wounded in the attack .,"{""person"": [], ""organization"": [], ""location"": [], ""miscellaneous"": [""Iraqi Kurds""]}"
141,train,0,Both Iran and Turkey mount air and land strikes at targets in northern Iraq in pursuit of their own Kurdish rebels .,"{""person"": [], ""organization"": [], ""location"": [""Iran"", ""Turkey"", ""Iraq""], ""miscellaneous"": [""Kurdish""]}"
142,train,0,A U.S.-led air force in southern Turkey protects Iraqi Kurds from possible attacks by Baghdad troops .,"{""person"": [], ""organization"": [], ""location"": [""Turkey"", ""Baghdad""], ""miscellaneous"": [""U.S.-led"", ""Iraqi Kurds""]}"
